match_id,round,cartao,atleta,num_camisa,posicao,minuto,team_id
4607,1,Amarelo,Paulo Roberto da Silva,28.0,,66,BRA020
4607,1,Amarelo,Thiago Heleno,4.0,Zagueiro,44,BRA020
4608,1,Amarelo,Andrés D'Alessandro,10.0,Meio-campo,72,BRA028
4608,1,Amarelo,Marcelo Machado dos Santos,29.0,,86,BRA045
4608,1,Amarelo,Mansur,,Zagueiro,10,BRA045
4608,1,Amarelo,Juan Silveira dos Santos,4.0,Zagueiro,20,BRA028
4608,1,Amarelo,Vinícius Santos Silva,,,82,BRA045
4609,1,Amarelo,Carlos Emiliano Pereira,30.0,Zagueiro,76,BRA016
4612,1,Amarelo,Cristian Chagas Tarouco,3.0,Zagueiro,78,BRA007
4612,1,Amarelo,Rhayner,,Atacante,41,BRA007
4612,1,Amarelo,Willian Farias,15.0,,90+1,BRA018
4612,1,Amarelo,Willian Gomes de Siqueira,9.0,Atacante,45+1,BRA018
4612,1,Amarelo,Pará,40.0,Zagueiro,60,BRA007
4612,1,Amarelo,Fahel,7.0,Meio-campo,39,BRA007
4612,1,Amarelo,Paulo César Tinga,7.0,Meio-campo,48,BRA018
4612,1,Amarelo,Nílton Ferreira Júnior,19.0,Meio-campo,22,BRA018
4611,1,Amarelo,Marcelo Mattos,5.0,Meio-campo,67,BRA009
4611,1,Amarelo,Álvaro Pereira,6.0,Zagueiro,31,BRA042
4611,1,Amarelo,Juan Carlos Ferreyra,9.0,Atacante,30,BRA009
4610,1,Amarelo,Paulinho Dias,17.0,Meio-campo,38,BRA003
4610,1,Amarelo,Ramiro Moschen Benetti,17.0,Meio-campo,62,BRA025
4610,1,Amarelo,Edinho,15.0,Meio-campo,72,BRA025
4614,1,Amarelo,Wallace Reis da Silva,14.0,Zagueiro,47,BRA021
4614,1,Amarelo,Léo Moura,2.0,Zagueiro,31,BRA021
4614,1,Amarelo,Thiago Henrique Mendes Ribeiro,23.0,Meio-campo,72,BRA024
4614,1,Amarelo,Lucas Mugni,,Meio-campo,37,BRA021
4614,1,Amarelo,Maurício Azevedo Alves,40.0,Meio-campo,24,BRA021
4614,1,Amarelo,Tiago Real,,,69,BRA024
4615,1,Amarelo,Jubal Rocha Mendes Júnior,36.0,,90+1,BRA040
4615,1,Amarelo,Luiz Antonio Linhares Garcia,13.0,Zagueiro,55,BRA043
4615,1,Amarelo,Neto Baiano,9.0,Atacante,75,BRA043
4615,1,Amarelo,Rodrigo Mancha,5.0,Meio-campo,43,BRA043
4616,1,Amarelo,Josimar,15.0,Meio-campo,90+1,BRA033
4616,1,Amarelo,Marcelo Oliveira Ferreira,26.0,Meio-campo,26,BRA033
4616,1,Amarelo,Silvinho,,Atacante,72,BRA017
4616,1,Amarelo,João Vitor Lima Gomes,,Meio-campo,29,BRA017
4616,1,Amarelo,Fernando Prass,1.0,Goleiro,72,BRA033
4616,1,Amarelo,Jorge Valdivia,10.0,Meio-campo,22,BRA033
4616,1,Amarelo,Sergio Escudero,,Zagueiro,56,BRA017
