team_id,points,played,wins,draws,losses,goals_for,goals_against,goal_difference,position
BRA021,57,27,17,6,4,53.0,22.0,31.0,1
BRA033,56,27,16,8,3,47.0,21.0,26.0,2
BRA003,46,27,13,7,7,41.0,31.0,10.0,3
BRA022,45,27,12,9,6,41.0,35.0,6.0,4
BRA007,43,26,11,10,5,40.0,32.0,8.0,5
BRA018,42,27,12,6,9,39.0,39.0,0.0,6
BRA005,39,26,11,6,9,35.0,31.0,4.0,7
BRA016,38,27,10,8,9,37.0,38.0,-1.0,8
BRA010,36,26,10,6,10,32.0,29.0,3.0,9
BRA040,35,26,9,8,9,39.0,39.0,0.0,10
BRA042,33,26,9,6,11,31.0,30.0,1.0,11
BRA045,33,27,9,6,12,27.0,39.0,-12.0,12
BRA015,32,27,8,8,11,28.0,29.0,-1.0,13
BRA009,32,26,8,8,10,38.0,41.0,-3.0,14
BRA046,29,27,7,8,12,31.0,42.0,-11.0,15
BRA025,28,26,7,7,12,28.0,35.0,-7.0,16
BRA044,28,26,7,7,12,29.0,41.0,-12.0,17
BRA028,28,27,6,10,11,30.0,35.0,-5.0,18
BRA047,23,26,5,8,13,30.0,43.0,-13.0,19
BRA014,17,26,3,8,15,28.0,52.0,-24.0,20
