match_id,round,atleta,minuto,tipo_de_gol,team_id
4607,1,Rafael Sóbis,31,,BRA022
4607,1,Nirley da Silva Fonseca,59,Gol Contra,BRA022
4607,1,Fred,45,Penalty,BRA022
4608,1,Charles Aránguiz,6,,BRA028
4612,1,Nílton Ferreira Júnior,63,,BRA018
4612,1,Anderson Talisca,80,Penalty,BRA007
4612,1,Marcelo Moreno,90,,BRA018
4611,1,Douglas Pereira dos Santos,22,,BRA042
4611,1,Luís Fabiano,56,,BRA042
4611,1,Antônio Carlos dos Santos Aguiar,13,,BRA042
4610,1,Dráusio Luis Salla Gil,16,,BRA003
4615,1,Gabriel Barbosa,80,,BRA040
4615,1,Neto Baiano,73,,BRA043
4616,1,Alan Kardec,88,,BRA033
4616,1,Paulo Baier,12,,BRA017
4616,1,Leandro,83,,BRA033
4618,2,Rafael Sóbis,45,,BRA022
4620,2,Mosquito,78,,BRA003
4620,2,Marcelo Cirino da Silva,83,,BRA003
4620,2,Telmário de Araújo Sacramento,11,,BRA045
4620,2,José Welison,36,,BRA045
4622,2,Júlio Baptista,50,,BRA018
4622,2,Antônio Carlos dos Santos Aguiar,90+2,,BRA042
4619,2,Rafael Moura,9,,BRA028
4619,2,Rafael Moura,35,,BRA028
4619,2,Emerson Sheik,64,,BRA009
4619,2,Pablo Zeballos,75,,BRA009
4621,2,Guilherme dos Santos Torres,9,,BRA015
4621,2,Carlos Gilberto do Nascimento Silva,80,,BRA015
4626,2,Rithely,12,,BRA043
4626,2,Ananias Elói Castro Monteiro,38,,BRA043
4626,2,Ricardo Conceição,37,,BRA014
4623,2,Lincoln Cássio de Souza Soares,8,,BRA007
4623,2,Fahel,74,,BRA007
4624,2,Alan Ruiz,11,,BRA025
4624,2,Lucas Coelho,22,,BRA025
4624,2,Luiz Fernando Pereira da Silva,84,,BRA005
4625,2,Willian José de Souza,82,,BRA024
4628,3,Elierce Barbosa de Souza,75,Penalty,BRA018
4628,3,Marcelo Cirino da Silva,40,,BRA003
4628,3,Nílton Ferreira Júnior,36,,BRA018
4628,3,Marcelo Moreno,83,,BRA018
4628,3,Éderson Alves Ribeiro Silva,24,,BRA003
4629,3,Ademilson,72,,BRA042
