match_id,season,competition,round,date,home_team_id,away_team_id,home_goals,away_goals,arena,result
1,2003,Brasileirão Série A,1,2003-03-29,BRA027,BRA044,4,2, Brinco de Ouro,H
2,2003,Brasileirão Série A,1,2003-03-29,BRA003,BRA025,2,0, Arena da Baixada,H
3,2003,Brasileirão Série A,1,2003-03-30,BRA021,BRA016,1,1, Maracanã,D
4,2003,Brasileirão Série A,1,2003-03-30,BRA024,BRA035,2,2, Serra Dourada,D
5,2003,Brasileirão Série A,1,2003-03-30,BRA028,BRA036,1,1, Beira Rio,D
6,2003,Brasileirão Série A,1,2003-03-30,BRA017,BRA022,2,0, Heriberto Hulse,H
7,2003,Brasileirão Série A,1,2003-03-30,BRA031,BRA042,2,2, Alfredo Jaconi,D
8,2003,Brasileirão Série A,1,2003-03-30,BRA023,BRA007,0,0, Castelão,D
9,2003,Brasileirão Série A,1,2003-03-30,BRA018,BRA041,2,2, Mineirão,D
10,2003,Brasileirão Série A,1,2003-03-30,BRA045,BRA020,1,1, Barradão,D
11,2003,Brasileirão Série A,1,2003-03-30,BRA040,BRA034,2,2, Vila Belmiro,D
12,2003,Brasileirão Série A,1,2003-03-30,BRA015,BRA005,0,3, Pacaembu,A
13,2003,Brasileirão Série A,2,2003-04-05,BRA022,BRA023,1,1, Maracanã,D
14,2003,Brasileirão Série A,2,2003-04-05,BRA005,BRA040,0,0, Mineirão,D
15,2003,Brasileirão Série A,2,2003-04-05,BRA016,BRA028,0,1, Couto Pereira,A
16,2003,Brasileirão Série A,2,2003-04-05,BRA025,BRA027,3,1, Olímpico,H
17,2003,Brasileirão Série A,2,2003-04-06,BRA007,BRA021,1,2, Fonte Nova,A
18,2003,Brasileirão Série A,2,2003-04-06,BRA020,BRA015,3,3, Orlando Scarpelli,D
19,2003,Brasileirão Série A,2,2003-04-06,BRA035,BRA045,1,2, Mangueirão,A
20,2003,Brasileirão Série A,2,2003-04-06,BRA036,BRA031,1,0, Moisés Lucarelli,H
21,2003,Brasileirão Série A,2,2003-04-06,BRA034,BRA003,3,0, Pinheirão,H
22,2003,Brasileirão Série A,2,2003-04-06,BRA041,BRA017,3,2, Anacleto Campanella,H
23,2003,Brasileirão Série A,2,2003-04-06,BRA042,BRA018,2,4, Morumbi,A
24,2003,Brasileirão Série A,2,2003-04-06,BRA044,BRA024,6,4, São Januário,H
25,2003,Brasileirão Série A,4,2003-04-09,BRA035,BRA040,2,1, Mangueirão,H
37,2003,Brasileirão Série A,3,2003-04-12,BRA028,BRA007,2,0, Beira Rio,H
38,2003,Brasileirão Série A,3,2003-04-12,BRA040,BRA020,2,0, Vila Belmiro,H
39,2003,Brasileirão Série A,3,2003-04-12,BRA003,BRA005,1,2, Arena da Baixada,A
40,2003,Brasileirão Série A,3,2003-04-12,BRA015,BRA035,6,1, Pacaembu,H
41,2003,Brasileirão Série A,3,2003-04-13,BRA045,BRA044,2,1, Barradão,H
42,2003,Brasileirão Série A,3,2003-04-13,BRA017,BRA042,1,1, Heriberto Hulse,D
43,2003,Brasileirão Série A,3,2003-04-13,BRA023,BRA041,1,1, Presidente Vargas,D
44,2003,Brasileirão Série A,3,2003-04-13,BRA031,BRA016,2,1, Alfredo Jaconi,H
45,2003,Brasileirão Série A,3,2003-04-13,BRA027,BRA034,2,0, Brinco de Ouro,H
46,2003,Brasileirão Série A,3,2003-04-13,BRA024,BRA025,1,1, Serra Dourada,D
47,2003,Brasileirão Série A,3,2003-04-13,BRA018,BRA036,3,0, Mineirão,H
48,2003,Brasileirão Série A,3,2003-04-13,BRA021,BRA022,4,1, Maracanã,H
26,2003,Brasileirão Série A,4,2003-04-16,BRA007,BRA031,3,1, Fonte Nova,H
