round,date,home_team_id,away_team_id
21,2026-09-16,BRA009,BRA025
21,,BRA042,BRA040
21,,BRA005,BRA010
21,,BRA014,BRA044
27,2026-09-14,BRA007,BRA047
28,2026-09-19,BRA005,BRA014
28,2026-09-19,BRA046,BRA009
28,2026-09-19,BRA047,BRA040
28,2026-09-19,BRA044,BRA016
28,2026-09-19,BRA042,BRA028
28,2026-09-20,BRA025,BRA033
28,2026-09-20,BRA045,BRA018
28,2026-09-20,BRA015,BRA022
28,2026-09-20,BRA021,BRA010
28,2026-09-20,BRA003,BRA007
29,2026-10-07,BRA010,BRA046
29,2026-10-07,BRA028,BRA015
29,2026-10-07,BRA047,BRA025
29,2026-10-07,BRA045,BRA014
29,2026-10-07,BRA009,BRA044
29,2026-10-07,BRA018,BRA042
29,2026-10-08,BRA040,BRA021
29,2026-10-08,BRA003,BRA005
29,2026-10-08,BRA022,BRA016
29,2026-10-08,BRA033,BRA007
30,2026-10-10,BRA044,BRA047
30,2026-10-10,BRA042,BRA045
30,2026-10-11,BRA005,BRA040
30,2026-10-11,BRA025,BRA028
30,2026-10-11,BRA033,BRA015
30,2026-10-11,BRA021,BRA022
30,2026-10-11,BRA016,BRA009
30,2026-10-11,BRA007,BRA046
30,2026-10-12,BRA014,BRA003
30,2026-10-12,BRA010,BRA018
31,,BRA022,BRA040
31,,BRA009,BRA014
31,,BRA042,BRA044
31,,BRA015,BRA045
31,,BRA046,BRA028
31,,BRA005,BRA016
31,,BRA025,BRA018
31,,BRA003,BRA033
31,,BRA007,BRA021
31,,BRA047,BRA010
32,,BRA021,BRA005
32,,BRA044,BRA015
32,,BRA040,BRA007
32,,BRA033,BRA010
32,,BRA046,BRA042
32,,BRA018,BRA047
32,,BRA028,BRA009
32,,BRA016,BRA025
32,,BRA045,BRA003
32,,BRA014,BRA022
33,,BRA022,BRA028
33,,BRA044,BRA021
33,,BRA040,BRA033
33,,BRA015,BRA046
33,,BRA010,BRA014
33,,BRA005,BRA018
33,,BRA025,BRA003
33,,BRA016,BRA045
33,,BRA007,BRA042
33,,BRA047,BRA009
34,,BRA021,BRA025
34,,BRA009,BRA005
34,,BRA042,BRA015
34,,BRA033,BRA047
34,,BRA010,BRA040
34,,BRA018,BRA007
34,,BRA028,BRA016
34,,BRA003,BRA044
34,,BRA045,BRA022
34,,BRA014,BRA046
35,,BRA021,BRA003
35,,BRA044,BRA028
35,,BRA042,BRA022
35,,BRA015,BRA009
35,,BRA046,BRA005
35,,BRA018,BRA033
35,,BRA025,BRA007
35,,BRA016,BRA040
35,,BRA045,BRA010
35,,BRA047,BRA014
36,,BRA022,BRA046
36,,BRA009,BRA042
36,,BRA040,BRA025
36,,BRA033,BRA021
36,,BRA010,BRA044
36,,BRA005,BRA015
36,,BRA028,BRA045
36,,BRA003,BRA047
36,,BRA007,BRA016
36,,BRA014,BRA018
37,,BRA022,BRA018
37,,BRA009,BRA007
37,,BRA042,BRA047
37,,BRA015,BRA025
37,,BRA046,BRA003
37,,BRA005,BRA044
37,,BRA028,BRA010
37,,BRA016,BRA021
37,,BRA045,BRA040
37,,BRA014,BRA033
38,,BRA021,BRA014
38,,BRA044,BRA045
38,,BRA040,BRA009
38,,BRA033,BRA016
38,,BRA010,BRA022
38,,BRA018,BRA028
38,,BRA025,BRA046
38,,BRA003,BRA042
38,,BRA007,BRA005
38,,BRA047,BRA015
