match_id,round,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,team_id
1,1,0,0,,0,,0,0,0,0,0,BRA044
1,1,0,0,,0,,0,0,0,0,0,BRA027
2,1,0,0,,0,,0,0,0,0,0,BRA003
2,1,0,0,,0,,0,0,0,0,0,BRA025
3,1,0,0,,0,,0,0,0,0,0,BRA021
3,1,0,0,,0,,0,0,0,0,0,BRA016
4,1,0,0,,0,,0,0,0,0,0,BRA024
4,1,0,0,,0,,0,0,0,0,0,BRA035
5,1,0,0,,0,,0,0,0,0,0,BRA028
5,1,0,0,,0,,0,0,0,0,0,BRA036
6,1,0,0,,0,,0,0,0,0,0,BRA022
6,1,0,0,,0,,0,0,0,0,0,BRA017
7,1,0,0,,0,,0,0,0,0,0,BRA042
7,1,0,0,,0,,0,0,0,0,0,BRA031
8,1,0,0,,0,,0,0,0,0,0,BRA007
8,1,0,0,,0,,0,0,0,0,0,BRA023
9,1,0,0,,0,,0,0,0,0,0,BRA018
9,1,0,0,,0,,0,0,0,0,0,BRA041
10,1,0,0,,0,,0,0,0,0,0,BRA045
10,1,0,0,,0,,0,0,0,0,0,BRA020
11,1,0,0,,0,,0,0,0,0,0,BRA040
11,1,0,0,,0,,0,0,0,0,0,BRA034
12,1,0,0,,0,,0,0,0,0,0,BRA005
12,1,0,0,,0,,0,0,0,0,0,BRA015
13,2,0,0,,0,,0,0,0,0,0,BRA023
13,2,0,0,,0,,0,0,0,0,0,BRA022
14,2,0,0,,0,,0,0,0,0,0,BRA040
14,2,0,0,,0,,0,0,0,0,0,BRA005
15,2,0,0,,0,,0,0,0,0,0,BRA016
15,2,0,0,,0,,0,0,0,0,0,BRA028
16,2,0,0,,0,,0,0,0,0,0,BRA027
16,2,0,0,,0,,0,0,0,0,0,BRA025
17,2,0,0,,0,,0,0,0,0,0,BRA007
17,2,0,0,,0,,0,0,0,0,0,BRA021
18,2,0,0,,0,,0,0,0,0,0,BRA020
18,2,0,0,,0,,0,0,0,0,0,BRA015
19,2,0,0,,0,,0,0,0,0,0,BRA035
19,2,0,0,,0,,0,0,0,0,0,BRA045
20,2,0,0,,0,,0,0,0,0,0,BRA031
20,2,0,0,,0,,0,0,0,0,0,BRA036
21,2,0,0,,0,,0,0,0,0,0,BRA034
21,2,0,0,,0,,0,0,0,0,0,BRA003
22,2,0,0,,0,,0,0,0,0,0,BRA041
22,2,0,0,,0,,0,0,0,0,0,BRA017
23,2,0,0,,0,,0,0,0,0,0,BRA042
23,2,0,0,,0,,0,0,0,0,0,BRA018
24,2,0,0,,0,,0,0,0,0,0,BRA044
24,2,0,0,,0,,0,0,0,0,0,BRA024
25,4,0,0,,0,,0,0,0,0,0,BRA040
25,4,0,0,,0,,0,0,0,0,0,BRA035
37,3,0,0,,0,,0,0,0,0,0,BRA007
37,3,0,0,,0,,0,0,0,0,0,BRA028
38,3,0,0,,0,,0,0,0,0,0,BRA020
38,3,0,0,,0,,0,0,0,0,0,BRA040
39,3,0,0,,0,,0,0,0,0,0,BRA003
39,3,0,0,,0,,0,0,0,0,0,BRA005
40,3,0,0,,0,,0,0,0,0,0,BRA035
40,3,0,0,,0,,0,0,0,0,0,BRA015
41,3,0,0,,0,,0,0,0,0,0,BRA044
41,3,0,0,,0,,0,0,0,0,0,BRA045
42,3,0,0,,0,,0,0,0,0,0,BRA017
42,3,0,0,,0,,0,0,0,0,0,BRA042
43,3,0,0,,0,,0,0,0,0,0,BRA023
43,3,0,0,,0,,0,0,0,0,0,BRA041
44,3,0,0,,0,,0,0,0,0,0,BRA016
44,3,0,0,,0,,0,0,0,0,0,BRA031
45,3,0,0,,0,,0,0,0,0,0,BRA027
45,3,0,0,,0,,0,0,0,0,0,BRA034
46,3,0,0,,0,,0,0,0,0,0,BRA025
46,3,0,0,,0,,0,0,0,0,0,BRA024
47,3,0,0,,0,,0,0,0,0,0,BRA036
47,3,0,0,,0,,0,0,0,0,0,BRA018
48,3,0,0,,0,,0,0,0,0,0,BRA022
48,3,0,0,,0,,0,0,0,0,0,BRA021
26,4,0,0,,0,,0,0,0,0,0,BRA007
26,4,0,0,,0,,0,0,0,0,0,BRA031
27,4,0,0,,0,,0,0,0,0,0,BRA025
27,4,0,0,,0,,0,0,0,0,0,BRA045
28,4,0,0,,0,,0,0,0,0,0,BRA005
28,4,0,0,,0,,0,0,0,0,0,BRA027
29,4,0,0,,0,,0,0,0,0,0,BRA003
29,4,0,0,,0,,0,0,0,0,0,BRA020
30,4,0,0,,0,,0,0,0,0,0,BRA036
30,4,0,0,,0,,0,0,0,0,0,BRA017
31,4,0,0,,0,,0,0,0,0,0,BRA041
31,4,0,0,,0,,0,0,0,0,0,BRA021
32,4,0,0,,0,,0,0,0,0,0,BRA044
32,4,0,0,,0,,0,0,0,0,0,BRA015
33,4,0,0,,0,,0,0,0,0,0,BRA016
33,4,0,0,,0,,0,0,0,0,0,BRA018
34,4,0,0,,0,,0,0,0,0,0,BRA022
34,4,0,0,,0,,0,0,0,0,0,BRA028
35,4,0,0,,0,,0,0,0,0,0,BRA042
35,4,0,0,,0,,0,0,0,0,0,BRA023
36,4,0,0,,0,,0,0,0,0,0,BRA024
36,4,0,0,,0,,0,0,0,0,0,BRA034
144,12,0,0,,0,,0,0,0,0,0,BRA021
144,12,0,0,,0,,0,0,0,0,0,BRA018
49,5,0,0,,0,,0,0,0,0,0,BRA007
49,5,0,0,,0,,0,0,0,0,0,BRA005
50,5,0,0,,0,,0,0,0,0,0,BRA041
50,5,0,0,,0,,0,0,0,0,0,BRA025
51,5,0,0,,0,,0,0,0,0,0,BRA040
51,5,0,0,,0,,0,0,0,0,0,BRA021
52,5,0,0,,0,,0,0,0,0,0,BRA044
52,5,0,0,,0,,0,0,0,0,0,BRA042
53,5,0,0,,0,,0,0,0,0,0,BRA015
53,5,0,0,,0,,0,0,0,0,0,BRA028
54,5,0,0,,0,,0,0,0,0,0,BRA017
54,5,0,0,,0,,0,0,0,0,0,BRA027
55,5,0,0,,0,,0,0,0,0,0,BRA031
55,5,0,0,,0,,0,0,0,0,0,BRA045
56,5,0,0,,0,,0,0,0,0,0,BRA023
56,5,0,0,,0,,0,0,0,0,0,BRA003
57,5,0,0,,0,,0,0,0,0,0,BRA036
57,5,0,0,,0,,0,0,0,0,0,BRA035
58,5,0,0,,0,,0,0,0,0,0,BRA018
58,5,0,0,,0,,0,0,0,0,0,BRA024
59,5,0,0,,0,,0,0,0,0,0,BRA022
59,5,0,0,,0,,0,0,0,0,0,BRA034
60,5,0,0,,0,,0,0,0,0,0,BRA016
60,5,0,0,,0,,0,0,0,0,0,BRA020
61,6,0,0,,0,,0,0,0,0,0,BRA005
61,6,0,0,,0,,0,0,0,0,0,BRA016
62,6,0,0,,0,,0,0,0,0,0,BRA034
62,6,0,0,,0,,0,0,0,0,0,BRA007
63,6,0,0,,0,,0,0,0,0,0,BRA045
63,6,0,0,,0,,0,0,0,0,0,BRA028
64,6,0,0,,0,,0,0,0,0,0,BRA027
64,6,0,0,,0,,0,0,0,0,0,BRA018
65,6,0,0,,0,,0,0,0,0,0,BRA015
65,6,0,0,,0,,0,0,0,0,0,BRA021
66,6,0,0,,0,,0,0,0,0,0,BRA031
66,6,0,0,,0,,0,0,0,0,0,BRA024
67,6,0,0,,0,,0,0,0,0,0,BRA036
67,6,0,0,,0,,0,0,0,0,0,BRA020
68,6,0,0,,0,,0,0,0,0,0,BRA023
68,6,0,0,,0,,0,0,0,0,0,BRA040
69,6,0,0,,0,,0,0,0,0,0,BRA025
69,6,0,0,,0,,0,0,0,0,0,BRA022
70,6,0,0,,0,,0,0,0,0,0,BRA017
70,6,0,0,,0,,0,0,0,0,0,BRA003
71,6,0,0,,0,,0,0,0,0,0,BRA035
71,6,0,0,,0,,0,0,0,0,0,BRA042
72,6,0,0,,0,,0,0,0,0,0,BRA044
72,6,0,0,,0,,0,0,0,0,0,BRA041
73,7,0,0,,0,,0,0,0,0,0,BRA045
73,7,0,0,,0,,0,0,0,0,0,BRA021
74,7,0,0,,0,,0,0,0,0,0,BRA025
74,7,0,0,,0,,0,0,0,0,0,BRA007
75,7,0,0,,0,,0,0,0,0,0,BRA018
75,7,0,0,,0,,0,0,0,0,0,BRA003
76,7,0,0,,0,,0,0,0,0,0,BRA023
76,7,0,0,,0,,0,0,0,0,0,BRA015
77,7,0,0,,0,,0,0,0,0,0,BRA020
77,7,0,0,,0,,0,0,0,0,0,BRA042
78,7,0,0,,0,,0,0,0,0,0,BRA041
78,7,0,0,,0,,0,0,0,0,0,BRA035
79,7,0,0,,0,,0,0,0,0,0,BRA024
79,7,0,0,,0,,0,0,0,0,0,BRA028
80,7,0,0,,0,,0,0,0,0,0,BRA005
80,7,0,0,,0,,0,0,0,0,0,BRA036
81,7,0,0,,0,,0,0,0,0,0,BRA031
81,7,0,0,,0,,0,0,0,0,0,BRA027
82,7,0,0,,0,,0,0,0,0,0,BRA016
82,7,0,0,,0,,0,0,0,0,0,BRA034
83,7,0,0,,0,,0,0,0,0,0,BRA040
83,7,0,0,,0,,0,0,0,0,0,BRA017
84,7,0,0,,0,,0,0,0,0,0,BRA022
84,7,0,0,,0,,0,0,0,0,0,BRA044
85,8,0,0,,0,,0,0,0,0,0,BRA024
85,8,0,0,,0,,0,0,0,0,0,BRA021
86,8,0,0,,0,,0,0,0,0,0,BRA018
86,8,0,0,,0,,0,0,0,0,0,BRA040
87,8,0,0,,0,,0,0,0,0,0,BRA036
87,8,0,0,,0,,0,0,0,0,0,BRA034
88,8,0,0,,0,,0,0,0,0,0,BRA017
88,8,0,0,,0,,0,0,0,0,0,BRA015
89,8,0,0,,0,,0,0,0,0,0,BRA044
89,8,0,0,,0,,0,0,0,0,0,BRA007
90,8,0,0,,0,,0,0,0,0,0,BRA035
90,8,0,0,,0,,0,0,0,0,0,BRA022
91,8,0,0,,0,,0,0,0,0,0,BRA005
91,8,0,0,,0,,0,0,0,0,0,BRA042
92,8,0,0,,0,,0,0,0,0,0,BRA023
92,8,0,0,,0,,0,0,0,0,0,BRA045
93,8,0,0,,0,,0,0,0,0,0,BRA027
93,8,0,0,,0,,0,0,0,0,0,BRA028
94,8,0,0,,0,,0,0,0,0,0,BRA031
94,8,0,0,,0,,0,0,0,0,0,BRA003
95,8,0,0,,0,,0,0,0,0,0,BRA020
95,8,0,0,,0,,0,0,0,0,0,BRA041
96,8,0,0,,0,,0,0,0,0,0,BRA016
96,8,0,0,,0,,0,0,0,0,0,BRA025
97,9,0,0,,0,,0,0,0,0,0,BRA020
97,9,0,0,,0,,0,0,0,0,0,BRA022
