team_id,team_name,canonical_name,state,city,aliases,first_season,last_season
BRA001,America-MG,América Mineiro,MG,,America Mineiro;América-MG;America FC,2011,2023
BRA002,America-RN,América de Natal,RN,,América-RN;America Natal,2007,2007
BRA003,Athletico-PR,Athletico Paranaense,PR,,Atletico-PR;Atlético-PR;Atlético Paranaense;Athletico Paranaense;CAP,2003,2024
BRA004,Atletico-GO,Atlético Goianiense,GO,,Atletico Goianiense;Atlético-GO,2010,2024
BRA005,Atletico-MG,Atlético Mineiro,MG,,Atletico Mineiro;Atlético-MG;Galo,2003,2024
BRA006,Avai,Avaí,SC,,Avai FC,2009,2022
BRA007,Bahia,Bahia,BA,,EC Bahia,2003,2024
BRA008,Barueri,Grêmio Barueri,SP,,Gremio Barueri,2009,2009
BRA009,Botafogo-RJ,Botafogo,RJ,,Botafogo FR;Botafogo RJ;Botafogo,2004,2024
BRA010,Bragantino,Red Bull Bragantino,SP,,RB Bragantino;Bragantino-SP,2020,2024
BRA011,Brasiliense,Brasiliense,DF,,Brasiliense FC,2005,2005
BRA012,CSA,CSA,AL,,Centro Sportivo Alagoano,2019,2019
BRA013,Ceara,Ceará,CE,,Ceara SC,2010,2022
BRA014,Chapecoense,Chapecoense,SC,,Chapecoense-SC;ACF,2014,2021
BRA015,Corinthians,Corinthians,SP,,SC Corinthians Paulista,2003,2024
BRA016,Coritiba,Coritiba,PR,,Coritiba FC;Coxa;Coritiba SAF,2003,2023
BRA017,Criciuma,Criciúma,SC,,Criciuma EC,2003,2024
BRA018,Cruzeiro,Cruzeiro,MG,,Cruzeiro EC,2003,2024
BRA019,Cuiaba,Cuiabá,MT,,Cuiaba EC,2021,2024
BRA020,Figueirense,Figueirense,SC,,Figueirense FC,2003,2016
BRA021,Flamengo,Flamengo,RJ,,CR Flamengo;Mengo,2003,2024
BRA022,Fluminense,Fluminense,RJ,,Fluminense FC;Flu,2003,2024
BRA023,Fortaleza,Fortaleza,CE,,Fortaleza EC;Fortaleza SAF,2003,2024
BRA024,Goias,Goiás,GO,,Goias EC,2003,2023
BRA025,Gremio,Grêmio,RS,,Gremio FBPA,2003,2024
BRA026,Gremio Prudente,Grêmio Prudente,SP,,Gremio Barueri Prudente,2010,2010
BRA027,Guarani,Guarani,SP,,Guarani FC,2003,2010
BRA028,Internacional,Internacional,RS,,SC Internacional;Inter;Internacional-RS,2003,2024
BRA029,Ipatinga,Ipatinga,MG,,Ipatinga FC,2008,2008
BRA030,Joinville,Joinville,SC,,Joinville EC,2015,2015
BRA031,Juventude,Juventude,RS,,EC Juventude,2003,2024
BRA032,Nautico,Náutico,PE,,Nautico Capibaribe,2007,2013
BRA033,Palmeiras,Palmeiras,SP,,SE Palmeiras;Verdao,2004,2024
BRA034,Parana,Paraná Clube,PR,,Parana Clube,2003,2018
BRA035,Paysandu,Paysandu,PA,,Paysandu SC,2003,2005
BRA036,Ponte Preta,Ponte Preta,SP,,AA Ponte Preta,2003,2017
BRA037,Portuguesa,Portuguesa,SP,,Associação Portuguesa de Desportos,2008,2013
BRA038,Santa Cruz,Santa Cruz,PE,,Santa Cruz FC,2006,2016
BRA039,Santo Andre,Santo André,SP,,EC Santo Andre,2009,2009
BRA040,Santos,Santos,SP,,Santos FC,2003,2023
BRA041,Sao Caetano,São Caetano,SP,,AA São Caetano;Sao Caetano,2003,2006
BRA042,Sao Paulo,São Paulo,SP,,Sao Paulo FC;SPFC,2003,2024
BRA043,Sport,Sport Recife,PE,,Sport Club do Recife;Sport-PE,2007,2021
BRA044,Vasco,Vasco da Gama,RJ,,CR Vasco da Gama;Vasco da Gama Saf,2003,2024
BRA045,Vitoria,Vitória,BA,,EC Vitoria,2003,2024
BRA046,Mirassol,Mirassol,SP,,Mirassol FC;MIR,2025,2025
BRA047,Remo,Remo,PA,,Clube do Remo;REM,2026,2026
