round,n_matches,log_loss,brier_score,accuracy
1,10,1.0131176828946136,0.6047715949278281,0.5
2,10,1.2973181465523278,0.8175260517605739,0.3
3,10,1.0469899671659406,0.641491844093556,0.6
4,10,0.9627700746421292,0.5694171073953227,0.6
5,10,1.1216003680088895,0.6861350758933064,0.5
6,10,1.0661585746837732,0.645541529226703,0.3
7,10,0.9137908655856979,0.5267885398055865,0.7
8,10,1.0059869722365082,0.6036671621799736,0.5
9,10,0.8557191532529119,0.4921283536539665,0.7
10,10,1.110718235431528,0.677082133462425,0.4
11,10,1.1204957463552578,0.6856817914978771,0.4
12,10,0.8638495467935459,0.499260238661231,0.6
13,10,0.8159334791304694,0.46576464438189175,0.8
14,10,1.2753249051986522,0.7951743623966607,0.4
15,10,1.194716579947181,0.7508551942050329,0.4
16,10,1.0405558572093205,0.6263026550185897,0.5
17,10,0.931226989038184,0.5501641086589053,0.6
18,10,0.8446366884991849,0.4913674849744781,0.6
19,10,0.9127159357449554,0.5323741533916484,0.6
20,10,1.3303494459734009,0.839250802629725,0.2
21,6,0.9944130227189153,0.5924901603128344,0.5
22,10,1.0577625545335083,0.644971193055136,0.4
23,10,1.2029464944130501,0.7535050064125767,0.2
24,10,1.017213807624692,0.6076325094668112,0.3
25,10,0.9366704418757287,0.5491297379047363,0.5
26,10,1.0760777199109346,0.6387584823037304,0.6
27,9,1.0260140852453403,0.6180671047134135,0.5555555555555556
